position,true_level,mvr_mean_rank,mvr_std_rank,mvr_layer,z_dev,n_records
省级|政府_国务院|交通部/厅/局|厅长,正厅,184.405,14.23730926123331,5,1.0756582170821458,7
省级|军队|新疆生产建设兵团|第一书记,正厅,184.05,15.628659571441192,5,1.069730974206349,14
副省级市|党委|党委常委会/政治局 |市委副书记,副部,183.205,18.151114979526728,4,-1.1534147366260163,4
省级|政府_国务院|农业委员会|主任,正厅,182.67,12.527513719808894,4,1.046689861055363,3
省级|政府_国务院|发展改革/计划委员会|主任,正厅,181.4925,8.618726341519375,4,1.0270297808124027,32
省级|政府_国务院|公安部/厅/局|局长,副部,178.4925,17.527976031190825,4,-1.2135820840900708,8
省级|政府_国务院|政府/国务院办公厅|党组书记,正厅,178.41875,12.284070922845558,4,0.9757090405603429,14
省级|党委|党委常委会/政治局 |委员,正厅,178.34375,19.72030897165407,4,0.9744568061499634,4
省级|政府_国务院|国土资源部/厅/局|厅长,正厅,178.1925,24.229123874998045,4,0.9719314667556977,4
省级|军队|南京军区|政委,副部,177.32375,21.363261360042856,4,-1.228504224641501,3
中央|学校|中国井冈山干部学院|学员,正厅,176.7925,25.45602961480835,4,0.9485564244286108,5
中央|政府_国务院|工商行政管理局|司长,正厅,173.81375,29.82958365343876,4,0.8988218477630323,3
省级|政府_国务院|发展改革/计划委员会|党组书记,正厅,172.935,8.140225733970764,4,0.8841498345880842,8
省级|政府_国务院|民族事务委员会|党组书记,正厅,172.43375,19.104727449966433,4,0.8757807346120468,5
省级|政府_国务院|人事部/厅/局|厅长,正厅,171.52125,9.420432497369758,4,0.8605452159524277,13
省级|党委|宣传部（党委）|部长（副部级）,副部,170.96,28.79393859825362,4,-1.309754082980891,4
省级|军队|兰州军区|司令员,副部,170.685,19.594087756259533,4,-1.3132651748753452,4
省级|政府_国务院|西部开发领导小组办公室|主任,正厅,168.8925,35.864584812179295,4,0.816654399868621,5
省级|政府_国务院|政府/国务院（综合）|主席助理,正厅,168.50125,11.352532688237469,4,0.8101219103611402,8
中央|学校|中国人民大学|学员,正厅,164.70875,18.03056913792519,4,0.7468005903429425,12
省级|党委|党委常委会/政治局 |市委副书记,副部,163.9475,55.38537481817742,4,-1.3992869262894707,4
地级市|党委|党委常委会/政治局 |市委书记,正厅,163.81875,7.150762087882681,4,0.731940742006437,231
中央|政府_国务院|国家审计署/地方审计厅/局|副审计长,副部,163.61625,20.88561672389637,4,-1.4035161960714266,3
省级|军队|警备区|政委,副部,162.0625,13.088204374550392,4,-1.4233538652750923,3
地级市|党委|经济技术开发区管委会|主任,副部,159.9625,17.451177431623318,4,-1.4501658397418327,7
省级|军队|兰州军区|政委,副部,159.94875,30.408199937475757,4,-1.4503413943365557,5
地级市|党委|党委常委会/政治局 |书记,正厅,159.86,3.4807183166697064,4,0.665843635711898,629
地级市|党委|党委常委会/政治局 |区委书记,正厅,159.66625,20.752225445419086,4,0.6626086968184168,9
省级|军队|省级军区|司令员,副部,155.095,24.913519923928888,4,-1.5123121662736705,10
中央|学校|中欧国际工商学院|学员,正厅,154.3075,18.874995198674878,4,0.5731365481967907,4
中央|中央企业|中国航天科技集团公司|总经理,副部,152.055,42.65269012618081,4,-1.5511256912159992,3
中央|学校|哈佛大学|学员,正厅,151.63375,6.570548754670334,4,0.5284943914667558,23
地级市|政协|政协常委会|主席,正厅,151.575,6.722304292428299,4,0.5275134745119584,5
地级市|党委|党委常委会/政治局 |州委书记,正厅,151.0225,9.654117968514786,4,0.518288681022162,8
省级|军队|济南军区|副政委,副部,150.8575,14.327497818879609,4,-1.566414900465486,3
省级|军队|警备区|司令员,副部,145.72375,30.647388729506808,3,-1.6319606023314996,3
中央|学校|清华大学|学员,副部,143.23125,8.044580376719471,3,-1.6637838625021426,15
中央|党委|宣传部（党委）|副秘书长,正厅,142.8375,46.136819285143666,3,0.38162816570272895,4
地级市|政府_国务院|政府/国务院（综合）|专员,正厅,141.86,6.079095327431536,3,0.36530737722078094,16
中央|学校|中国延安干部学院|学员,正厅,141.54375,8.135759702541607,3,0.36002712212367965,4
